  3.1 time       3.2 time      3.3 time          3.3 err           3.4 time          3.4 err          3.5 time       3.5 err        3.6 time        3.6 err

0.013830666     0.008859125   0.006957708  1.89275144892915e-12  0.005930333  1.89275144892915e-12  0.007416084  4895.7178492968   0.00582      4895.7178492968
0.148711292     0.231186292   0.244206625  2.09799770570661e-11  0.30898825   2.09799770570661e-11  0.422374875  32080.7702005122  0.373792958  32080.7702005122
0.140577708     0.244744542   0.219463541  2.14417773490585e-11  0.2158015    2.14417773490585e-11  0.419375042  61644.3953986073  0.403900167  61644.3953986073
0.13651025      0.2677515     0.213527958  2.14444765446359e-11  0.220120667  2.14444765446359e-11  0.44143275   44145.2866923823  0.442228     44145.2866923823
0.004651375     0.003678625   0.006185792  1.02250693413511e-13  0.005206375  8.65381275265339e-14  0.005806833  100.818147211261  0.0046075    100.818147211261
0.022944416     0.019193625   0.055149291  1.77360634861632e-13  0.052053791  1.88644182745752e-13  0.030234292  217.350764452106  0.033188292  217.350764452106
0.003261292     0.0032875     0.005387083  6.17181412931108e-14  0.004114334  1.27460791822602e-13  0.005206334  87.8591298161617  0.004668584  87.8591298161617
0.144115625     0.218779834   0.220462333  4.15945814412065e-13  0.211786958  4.69918754727527e-13  0.374159167  875.696254765113  0.402209458  875.696254765113
0.1509785       0.232664833   0.220281083  3.40152251514578e-13  0.211715167  4.70483774314924e-13  0.415291834  736.736796939172  0.394158417  736.736796939172
0.157616583     0.227514708   0.241677583  4.46232912421253e-13  0.223368459  5.04629129193998e-13  0.39135325   861.219916174183  0.38411975   861.219916174183
0.004876        0.004039417   0.005775458  8.04043743613721e-14  0.006308083  1.13967042794303e-13  0.005160959  63.495096412488   0.004967375  63.495096412488
0.154196417     0.257479875   0.233038292  7.59713408841193e-13  0.221860666  4.99748417533508e-13  0.418070791  716.308552537616  0.413358083  716.308552537616
0.029004375     0.028260667   0.035581875  2.3011622253872e-12   0.041016625  2.3011622253872e-12   0.024880083  10102.4289534188  0.024544833  10102.4289534188
0.399106333     0.727474458   0.758704917  2.29877600187433e-11  0.743139917  2.29877600187433e-11  1.022469916  31302.7490628759  1.045750459  31302.7490628759

